epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.8271,1.99079,4.81342,0.00892,0.00749,0.22104,0.01203,0.00627,1.48397,3.92487,0.00974,0.00016149,0.00016149,0.00016149
2,41.7685,1.50812,4.137,0.00623,0.01558,0.63986,0.19158,0.10436,1.23174,3.60441,0.00772,0.000327396,0.000327396,0.000327396
3,48.6493,1.47601,3.25298,0.00609,0.96282,0.09515,0.36165,0.22426,1.26573,2.98412,0.00804,0.000489953,0.000489953,0.000489953
4,55.4968,1.45986,2.71649,0.00594,0.84137,0.22902,0.5687,0.36021,1.27627,2.24525,0.0078,0.00064916,0.00064916,0.00064916
5,62.3329,1.41328,2.33252,0.00555,0.69689,0.33796,0.60663,0.38713,1.20491,1.96133,0.00764,0.000738548,0.000738548,0.000738548
6,69.1718,1.37045,2.14805,0.00536,0.6575,0.58934,0.70663,0.4909,1.09483,1.54742,0.00663,0.000730935,0.000730935,0.000730935
7,75.9782,1.28353,1.96834,0.0051,0.63605,0.67913,0.73413,0.51489,1.0885,1.36272,0.00663,0.000723321,0.000723321,0.000723321
8,82.8259,1.28331,1.81523,0.00486,0.68303,0.66452,0.75774,0.54574,1.06678,1.16798,0.00648,0.000715708,0.000715708,0.000715708
9,89.6414,1.2549,1.74426,0.00494,0.66474,0.74115,0.80239,0.55551,1.17207,1.11367,0.007,0.000708095,0.000708095,0.000708095
10,96.454,1.17984,1.63581,0.00466,0.68623,0.80258,0.82992,0.61832,1.00629,0.96894,0.00621,0.000700482,0.000700482,0.000700482
11,103.272,1.13263,1.5686,0.00449,0.66656,0.78801,0.81743,0.62226,1.00091,0.93662,0.00603,0.000692869,0.000692869,0.000692869
12,110.114,1.13063,1.53114,0.00449,0.76282,0.7836,0.83642,0.6565,0.91307,0.87951,0.00524,0.000685256,0.000685256,0.000685256
13,116.914,1.06938,1.40694,0.00404,0.71695,0.7902,0.8494,0.65543,0.97534,0.83792,0.00573,0.000677643,0.000677643,0.000677643
14,123.826,1.09155,1.37146,0.00404,0.77468,0.80645,0.86134,0.67359,0.89357,0.81343,0.00552,0.00067003,0.00067003,0.00067003
15,130.649,1.0726,1.35375,0.00427,0.80904,0.82031,0.87832,0.6769,0.96573,0.79436,0.00574,0.000662417,0.000662417,0.000662417
